REFERENCE	 DEGRADED	Fsample	 P.862.2_SCORE
g729char\exp1\original\d\d_m01s15.wav	 g729char\exp1\coded\d\de1m0f15.out	16000	2.179
g729char\exp1\original\d\d_m02s15.wav	 g729char\exp1\coded\d\de1m3b15.out	16000	2.44
g729char\exp1\original\d\d_f01s16.wav	 g729char\exp1\coded\d\de1f6816.out	16000	2.539
g729char\exp1\original\d\d_f02s16.wav	 g729char\exp1\coded\d\de1f9416.out	16000	2.668
g729char\exp1\original\d\d_m01s16.wav	 g729char\exp1\coded\d\de1m1016.out	16000	2.926
g729char\exp1\original\d\d_m02s16.wav	 g729char\exp1\coded\d\de1m3c16.out	16000	2.957
g729char\exp1\original\d\d_f01s17.wav	 g729char\exp1\coded\d\de1f6917.out	16000	2.764
g729char\exp1\original\d\d_f02s17.wav	 g729char\exp1\coded\d\de1f9517.out	16000	2.425
g729char\exp1\original\d\d_m01s17.wav	 g729char\exp1\coded\d\de1m1117.out	16000	2.988
g729char\exp1\original\d\d_m02s17.wav	 g729char\exp1\coded\d\de1m3d17.out	16000	3.059
g729char\exp1\original\d\d_f01s18.wav	 g729char\exp1\coded\d\de1f6a18.out	16000	2.2
g729char\exp1\original\d\d_f02s18.wav	 g729char\exp1\coded\d\de1f9618.out	16000	2.401
g729char\exp1\original\d\d_m01s18.wav	 g729char\exp1\coded\d\de1m1218.out	16000	2.778
g729char\exp1\original\d\d_m02s18.wav	 g729char\exp1\coded\d\de1m3e18.out	16000	2.839
g729char\exp1\original\d\d_f01s19.wav	 g729char\exp1\coded\d\de1f6b19.out	16000	2.142
g729char\exp1\original\d\d_f02s19.wav	 g729char\exp1\coded\d\de1f9719.out	16000	1.773
g729char\exp1\original\d\d_m01s19.wav	 g729char\exp1\coded\d\de1m1319.out	16000	2.322
g729char\exp1\original\d\d_m02s19.wav	 g729char\exp1\coded\d\de1m3f19.out	16000	2.75
g729char\exp1\original\d\d_f01s20.wav	 g729char\exp1\coded\d\de1f6c20.out	16000	2.037
g729char\exp1\original\d\d_f02s20.wav	 g729char\exp1\coded\d\de1f9820.out	16000	1.816
g729char\exp1\original\d\d_m01s20.wav	 g729char\exp1\coded\d\de1m1420.out	16000	1.838
g729char\exp1\original\d\d_m02s20.wav	 g729char\exp1\coded\d\de1m4020.out	16000	1.928
g729char\exp1\original\d\d_f01s21.wav	 g729char\exp1\coded\d\de1f6d21.out	16000	1.448
g729char\exp1\original\d\d_f02s21.wav	 g729char\exp1\coded\d\de1f9921.out	16000	1.711
g729char\exp1\original\d\d_m01s21.wav	 g729char\exp1\coded\d\de1m1521.out	16000	2.285
g729char\exp1\original\d\d_m02s21.wav	 g729char\exp1\coded\d\de1m4121.out	16000	2.735
g729char\exp1\original\d\d_f01s22.wav	 g729char\exp1\coded\d\de1f6e22.out	16000	2.044
g729char\exp1\original\d\d_f02s22.wav	 g729char\exp1\coded\d\de1f9a22.out	16000	1.618
g729char\exp1\original\d\d_m01s22.wav	 g729char\exp1\coded\d\de1m1622.out	16000	1.879
g729char\exp1\original\d\d_m02s22.wav	 g729char\exp1\coded\d\de1m4222.out	16000	2.107
g729char\exp1\original\d\d_f01s23.wav	 g729char\exp1\coded\d\de1f6f23.out	16000	1.753
